META,version=1,fixture_root=../../../tools/direct-logic-dregg-benchmark/generated,profile=release,warmups=5,prove_samples=25,verify_samples=75,pair_order=alternating,proof_encoding=postcard,release_prover_self_verify=false,field=babybear,ext_degree=4,fri_log_blowup=6,fri_log_final_poly_len=0,fri_max_log_arity=3,fri_queries=19,fri_query_pow_bits=16,trace_rows=1
TAMPER,admission,source,public_input_0,verifier_rejected
TAMPER,admission,optimized,public_input_0,verifier_rejected
SAMPLE,upgrade,source,verify,7,409833
SAMPLE,upgrade,source,verify,8,671417
SAMPLE,upgrade,optimized,verify,8,756541
SAMPLE,upgrade,optimized,verify,9,795917
SAMPLE,upgrade,source,verify,9,564250
SAMPLE,upgrade,source,verify,10,1074375
SAMPLE,upgrade,optimized,verify,10,856666
SAMPLE,upgrade,optimized,verify,11,651208
SAMPLE,upgrade,source,verify,11,614292
SAMPLE,upgrade,source,verify,12,870083
SAMPLE,upgrade,optimized,verify,12,584167
SAMPLE,upgrade,optimized,verify,13,701708
SAMPLE,upgrade,source,verify,13,913375
SAMPLE,upgrade,source,verify,14,809709
SAMPLE,upgrade,optimized,verify,14,735625
SAMPLE,upgrade,optimized,verify,15,722542
SAMPLE,upgrade,source,verify,15,3365500
SAMPLE,upgrade,source,verify,16,29993584
SAMPLE,upgrade,optimized,verify,16,33706458
SAMPLE,upgrade,optimized,verify,17,704167
SAMPLE,upgrade,source,verify,17,2307625
SAMPLE,upgrade,source,verify,18,493834
SAMPLE,upgrade,optimized,verify,18,568375
SAMPLE,upgrade,optimized,verify,19,796625
SAMPLE,upgrade,source,verify,19,808208
SAMPLE,upgrade,source,verify,20,815417
SAMPLE,upgrade,optimized,verify,20,787542
SAMPLE,upgrade,optimized,verify,21,747833
SAMPLE,upgrade,source,verify,21,812458
SAMPLE,upgrade,source,verify,22,946416
SAMPLE,upgrade,optimized,verify,22,820042
SAMPLE,upgrade,optimized,verify,23,821292
SAMPLE,upgrade,source,verify,23,849792
SAMPLE,upgrade,source,verify,24,832458
