META,session=session-01,warmups=20,repeats=200,order=alternating,consumer_verifier=true
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,79,1125702
VERIFY_SWEEP,session-01,admission,expiry-none,source,79,1467797
VERIFY_SWEEP,session-01,admission,expiry-none,source,80,1459160
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,80,1139157
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,81,1119992
VERIFY_SWEEP,session-01,admission,expiry-none,source,81,1479249
VERIFY_SWEEP,session-01,admission,expiry-none,source,82,1488817
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,82,1211273
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,83,1186076
VERIFY_SWEEP,session-01,admission,expiry-none,source,83,1560943
VERIFY_SWEEP,session-01,admission,expiry-none,source,84,1523863
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,84,1221703
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,85,1091708
VERIFY_SWEEP,session-01,admission,expiry-none,source,85,1463158
VERIFY_SWEEP,session-01,admission,expiry-none,source,86,1454923
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,86,1150208
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,87,1246109
VERIFY_SWEEP,session-01,admission,expiry-none,source,87,1456375
VERIFY_SWEEP,session-01,admission,expiry-none,source,88,1475131
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,88,1152633
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,89,1110203
VERIFY_SWEEP,session-01,admission,expiry-none,source,89,1466084
VERIFY_SWEEP,session-01,admission,expiry-none,source,90,1456395
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,90,1143536
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,91,1145229
VERIFY_SWEEP,session-01,admission,expiry-none,source,91,1486062
VERIFY_SWEEP,session-01,admission,expiry-none,source,92,1606699
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,92,1164305
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,93,1257420
VERIFY_SWEEP,session-01,admission,expiry-none,source,93,1523562
VERIFY_SWEEP,session-01,admission,expiry-none,source,94,1489408
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,94,1164104
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,95,1125863
VERIFY_SWEEP,session-01,admission,expiry-none,source,95,1507873
VERIFY_SWEEP,session-01,admission,expiry-none,source,96,1477987
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,96,1178292
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,97,1134990
VERIFY_SWEEP,session-01,admission,expiry-none,source,97,1520777
VERIFY_SWEEP,session-01,admission,expiry-none,source,98,1504586
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,98,1190243
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,99,1182179
VERIFY_SWEEP,session-01,admission,expiry-none,source,99,1507933
VERIFY_SWEEP,session-01,admission,expiry-none,source,100,1499236
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,100,1191477
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,101,1164054
VERIFY_SWEEP,session-01,admission,expiry-none,source,101,1590338
VERIFY_SWEEP,session-01,admission,expiry-none,source,102,1527069
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,102,1192698
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,103,1152032
VERIFY_SWEEP,session-01,admission,expiry-none,source,103,1472226
VERIFY_SWEEP,session-01,admission,expiry-none,source,104,1479108
